,X,gene_id,true_target,pred_prob,pred_class,TRUE_class,sum_imp_score,sum_imp_score2,TRUE_pred_imp
1,0,AT1G12980,0,0.195398539304733,0,TRUE,-1.01533526694288,0,TRUE
2,1,AT1G45223,0,0.0562406778335571,0,TRUE,-1.84974628993223,0,TRUE
3,2,AT1G66852,0,0.0101598799228668,0,TRUE,-3.05276495331782,0,TRUE
4,3,AT1G65630,0,0.0358560979366302,0,TRUE,-2.22911767654477,0,TRUE
5,4,AT1G56233,0,0.309210240840912,0,TRUE,-0.303687088040988,0,TRUE
6,5,AT1G62895,0,0.0177095830440521,0,TRUE,-3.04455033097929,0,TRUE
7,6,AT1G10225,0,0.0834720432758331,0,TRUE,-1.57927063363786,0,TRUE
8,7,AT1G34855,0,0.0115301907062531,0,TRUE,-3.01593343789591,0,TRUE
9,8,AT1G57800,0,0.0101510584354401,0,TRUE,-3.67850306561604,0,TRUE
10,9,AT1G14315,0,0.0754704773426056,0,TRUE,-1.66000416104634,0,TRUE
11,10,AT1G05250,0,0.359507322311401,0,TRUE,-0.16194786400365,0,TRUE
12,11,AT1G22670,0,0.0433644354343414,0,TRUE,-2.27375311394462,0,TRUE
13,12,AT1G69860,0,0.0280231237411499,0,TRUE,-2.21235006641291,0,TRUE
14,13,AT1G51990,0,0.0437847971916199,0,TRUE,-2.40610499839704,0,TRUE
15,14,AT1G74929,0,0.0144994854927063,0,TRUE,-3.30872247155276,0,TRUE
16,15,AT1G78710,0,0.0228787660598755,0,TRUE,-2.97388645616229,0,TRUE
17,16,AT1G17540,0,0.359365403652191,0,TRUE,-0.195710246182898,0,TRUE
18,17,AT1G58643,0,0.0740589797496796,0,TRUE,-1.55949513282212,0,TRUE
19,18,AT1G71300,0,0.0292387008666992,0,TRUE,-2.39602123372788,0,TRUE
20,19,AT1G23645,0,0.0402196943759918,0,TRUE,-2.33608433270274,0,TRUE
21,20,AT1G48690,0,0.105199068784714,0,TRUE,-1.27985781047391,0,TRUE
22,21,AT1G26400,0,0.00783050060272217,0,TRUE,-3.55366191895746,0,TRUE
23,22,AT1G72980,0,0.0478419661521912,0,TRUE,-2.31661074368276,0,TRUE
24,23,AT1G11520,0,0.0219786167144775,0,TRUE,-3.08336963325837,0,TRUE
25,24,AT1G51320,0,0.0790475606918335,0,TRUE,-1.7872860666148,0,TRUE
26,25,AT1G73603,0,0.0480940937995911,0,TRUE,-1.97279178474128,0,TRUE
27,26,AT1G55650,0,0.0216455161571503,0,TRUE,-2.73689119070514,0,TRUE
28,27,AT1G55928,0,0.181440770626068,0,TRUE,-0.703651793495737,0,TRUE
29,28,AT1G54950,0,0.279322981834412,0,TRUE,-0.499394020289401,0,TRUE
30,29,AT1G43100,0,0.0190106928348541,0,TRUE,-2.62696055260312,0,TRUE
31,30,AT1G54420,0,0.137823492288589,0,TRUE,-1.08005426761792,0,TRUE
32,31,AT1G33890,0,0.0416642427444458,0,TRUE,-2.28339465685713,0,TRUE
33,32,AT1G63522,0,0.0589543879032135,0,TRUE,-1.70479183690259,0,TRUE
34,33,AT1G70080,0,0.100272834300995,0,TRUE,-1.30802520678981,0,TRUE
35,34,AT1G31400,0,0.0276285409927368,0,TRUE,-2.16141503853942,0,TRUE
36,35,AT1G73300,0,0.223765939474106,0,TRUE,-0.602339944092819,0,TRUE
37,36,AT1G80315,0,0.287793695926666,0,TRUE,-0.108223670156349,0,TRUE
38,37,AT1G43666,0,0.264652490615845,0,TRUE,-0.477087699819094,0,TRUE
39,38,AT1G12615,0,0.0722577571868896,0,TRUE,-1.72743528049477,0,TRUE
40,39,AT1G08005,0,0.39848655462265,0,TRUE,-0.0480519666225518,0,TRUE
41,40,AT1G24380,0,0.206796050071716,0,TRUE,-0.764296760299658,0,TRUE
42,41,AT1G60787,0,0.126110643148422,0,TRUE,-1.30366524631017,0,TRUE
43,42,AT1G26796,0,0.0464143753051758,0,TRUE,-1.94250190311641,0,TRUE
44,43,AT1G24062,0,0.139972031116486,0,TRUE,-0.912672660683711,0,TRUE
45,44,AT1G53265,0,0.0641541481018066,0,TRUE,-1.64316126617086,0,TRUE
46,45,AT1G61270,0,0.128005057573318,0,TRUE,-1.33016077700177,0,TRUE
47,46,AT1G43260,0,0.0575195848941803,0,TRUE,-2.00773637160273,0,TRUE
48,47,AT1G14420,0,0.391162663698196,0,TRUE,0.187264457732454,1,FALSE
49,48,AT1G47350,0,0.00737681984901428,0,TRUE,-3.61247177001951,0,TRUE
50,49,AT1G32660,0,0.0429390966892242,0,TRUE,-2.35606976732379,0,TRUE
51,50,AT1G50780,0,0.0547594130039215,0,TRUE,-1.98127569486405,0,TRUE
52,51,AT1G77980,0,0.0520563721656799,0,TRUE,-2.01685176645969,0,TRUE
53,52,AT1G43140,0,0.00572642683982849,0,TRUE,-3.73831629814413,0,TRUE
54,53,AT1G34170,0,0.171975195407867,0,TRUE,-0.923249348985337,0,TRUE
55,54,AT1G43722,0,0.0644877851009369,0,TRUE,-1.86138515727816,0,TRUE
56,55,AT1G36950,0,0.0350794196128845,0,TRUE,-2.24589983876103,0,TRUE
57,56,AT1G50880,0,0.0119690001010895,0,TRUE,-3.08934818638772,0,TRUE
58,57,AT1G36925,0,0.0200919806957245,0,TRUE,-2.55131369591254,0,TRUE
59,58,AT1G30670,0,0.331636130809784,0,TRUE,-0.190523313707672,0,TRUE
60,59,AT1G61630,0,0.0220946967601776,0,TRUE,-2.58306233494841,0,TRUE
61,60,AT1G51240,0,0.0240301191806793,0,TRUE,-2.42750365481334,0,TRUE
